qpuma,incarceration,spmpov,opmpov,sev_hard,immigration,college_educ,white,black,asian,other_race,hispanic,GEO.id2,qpumaname,coordinates
4007,0.2478632,0.3125,0.40625,0.484375,0.34375,0.1796875,0.015625,0.71875,0.0078125,0.015625,0.2421875,3604007,Ocean Hill,"40.68049854373801, -73.91130092760793"
3804,0.2191781,0.2625,0.375,0.4625,0.24375,0.25,0.09375,0.35625,0.0375,0.04375,0.46875,3603804,East Harlem North,"40.804091601870766, -73.93521354985221"
4006,0.2150538,0.2692308,0.2692308,0.4519231,0.2884615,0.3269231,0.1730769,0.6346154,0.0096154,0.0384615,0.1442308,3604006,Crown Heights North,"40.671368457423284, -73.94456452465153"
3708,0.2110092,0.3688525,0.4344262,0.557377,0.4262295,0.204918,0.0409836,0.3852459,0,0,0.5737705,3603708,West Concourse,"40.828140389530475, -73.93038675845537"
3709,0.2089552,0.2364865,0.25,0.472973,0.3648649,0.2027027,0.0337838,0.2905405,0.0540541,0.0337838,0.5878378,3603709,Soundview-Castle Hill-Clason Point-Harding Park,"40.82755965287966, -73.87290898350423"
3710,0.2068966,0.2900763,0.3664122,0.4503817,0.2824427,0.1068702,0.0152672,0.3358779,0.0076336,0.0152672,0.6259542,3603710,Mott Haven-Port Morris,"40.81001389986465, -73.92122581322967"
4003,0.1938775,0.2735849,0.3396226,0.5188679,0.3490566,0.1792453,0.1037736,0.6037736,0,0.0377358,0.254717,3604003,Stuyvesant Heights,"40.68184827458624, -73.93394829476212"
3705,0.1886792,0.3428572,0.4285714,0.56,0.36,0.16,0.0228571,0.3371429,0.0057143,0.0228571,0.6114286,3603705,Crotona Park East,"40.83834686020636, -73.89386641971277"
3803,0.1862069,0.205298,0.2913907,0.5298013,0.192053,0.3576159,0.1324503,0.5827814,0.0066225,0.0529801,0.2251656,3603803,Central Harlem South,"40.80482234659668, -73.95136220617498"
3706,0.1801802,0.3467742,0.4193548,0.5645161,0.4516129,0.1854839,0.0887097,0.2580645,0.016129,0.0322581,0.6048387,3603706,Norwood,"40.88074578244505, -73.87853073765967"
4011,0.1774193,0.2972973,0.2702703,0.5,0.4459459,0.3783784,0.2027027,0.5810811,0,0.0405405,0.1756757,3604011,Prospect Lefferts Gardens-Wingate,"40.65955121043796, -73.95313563234541"
4112,0.1702128,0.2924528,0.254717,0.4056604,0.3207547,0.3018868,0.0188679,0.6981132,0.0188679,0.0849057,0.1792453,3604112,South Jamaica,"40.68063686592709, -73.7894647709871"
4114,0.1595745,0.2178218,0.2673267,0.3168317,0.3069307,0.3960396,0.4059406,0.2871287,0.029703,0.019802,0.2574258,3604114,Far Rockaway-Bayswater,"40.59938235542945, -73.74867038737884"
4004,0.15,0.1395349,0.1976744,0.255814,0.1395349,0.5348837,0.4418605,0.2906977,0.0116279,0.0232558,0.2325581,3604004,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,"40.684780415123385, -73.984331640236"
3802,0.1386139,0.1743119,0.2752294,0.3302752,0.3211009,0.4678899,0.2201835,0.2752294,0.0642202,0.0275229,0.412844,3603802,Hamilton Heights,"40.82474071567294, -73.94955474710032"
4102,0.137931,0.2886598,0.2577319,0.4226804,0.6597938,0.3195876,0.1752577,0.1030928,0.1237113,0.0515464,0.5463917,3604102,North Corona,"40.75485737616975, -73.86226804298022"
4008,0.1304348,0.3090909,0.4,0.5545455,0.4454545,0.1818182,0.0272727,0.5727273,0.0363636,0.0545455,0.3090909,3604008,East New York,"40.658480339654474, -73.87597769306096"
3704,0.1298701,0.2282609,0.2173913,0.4891304,0.4130435,0.326087,0.1413043,0.3478261,0.0108696,0.0217391,0.4782609,3603704,Allerton-Pelham Gardens,"40.862307851845564, -73.84375957182104"
3707,0.1287129,0.4054054,0.4504505,0.5405405,0.5315315,0.1171171,0.018018,0.3243243,0.018018,0.009009,0.6306306,3603707,Mount Hope,"40.84848365112166, -73.90438066373838"
4013,0.1272727,0.1896552,0.1034483,0.3275862,0.2413793,0.6551724,0.6724138,0.0172414,0.1206897,0.0172414,0.1724138,3604013,Bay Ridge,"40.626274278133366, -74.03063681465329"
3703,0.1264368,0.2234043,0.1808511,0.3404255,0.2978723,0.3829787,0.3085106,0.2978723,0.0106383,0,0.3829787,3603703,Schuylerville-Throgs Neck-Edgewater Park,"40.81857459932497, -73.82065865144534"
4005,0.1188119,0.1081081,0.1351351,0.3153153,0.2072072,0.5675676,0.5225225,0.2432432,0.018018,0.009009,0.2072072,3604005,Carroll Gardens-Columbia Street-Red Hook,"40.679535690609775, -73.99730695285797"
4015,0.1184211,0.2,0.1647059,0.4117647,0.4,0.4823529,0.4352941,0.3647059,0.0117647,0.0823529,0.1058824,3604015,Flatbush,"40.64129450481666, -73.96424653966753"
3809,0.1176471,0.2307692,0.2991453,0.4102564,0.2564103,0.4017094,0.3504274,0.1538462,0.1025641,0.034188,0.3589744,3603809,Lower East Side,"40.71518201010527, -73.9820448546584"
4009,0.1134021,0.2982456,0.1666667,0.4035088,0.3947369,0.4035088,0.1929825,0.5877193,0.0175439,0.0526316,0.1491228,3604009,Canarsie,"40.63986026644359, -73.90510833491047"
4110,0.1111111,0.1269841,0.0952381,0.3333333,0.3809524,0.3015873,0.5238096,0.031746,0,0.015873,0.4285714,3604110,Ridgewood,"40.7038994212126, -73.8994039705152"
4105,0.1022727,0.1612903,0.0752688,0.3333333,0.3655914,0.4516129,0.2150538,0.4516129,0.1075269,0.0752688,0.1505376,3604105,Laurelton,"40.67799608945038, -73.74509881197675"
4018,0.0961538,0.2786885,0.2459016,0.4754098,0.3770492,0.3606557,0.3606557,0.3442623,0.0819672,0.0163934,0.1967213,3604018,Seagate-Coney Island,"40.57562078702515, -73.97063717319276"
4012,0.0888889,0.3076923,0.25,0.4038461,0.3269231,0.4230769,0.3269231,0.0576923,0.1923077,0,0.4230769,3604012,Sunset Park West,"40.65188581042944, -74.01785324368386"
4010,0.0875,0.1935484,0.1397849,0.5376344,0.6129032,0.311828,0.0107527,0.8064516,0.0107527,0.0967742,0.0752688,3604010,East Flatbush-Farragut,"40.64897770658072, -73.93141890535902"
3702,0.0842105,0.2857143,0.247619,0.3428572,0.3809524,0.2857143,0.0857143,0.6095238,0.0095238,0.0285714,0.2666667,3603702,Williamsbridge-Olinville,"40.87896189464389, -73.85264052608666"
4108,0.0816327,0.2931035,0.2068966,0.2413793,0.3103448,0.6724138,0.637931,0.1206897,0.1206897,0.0172414,0.1034483,3604108,Forest Hills,"40.719001132615574, -73.84181488872302"
3801,0.0809249,0.25,0.2173913,0.4619565,0.4673913,0.3695652,0.201087,0.0923913,0.0163043,0.0163043,0.6739131,3603801,Washington Heights North,"40.85631985689723, -73.9335926422485"
3810,0.0804598,0.0752688,0.0215054,0.1182796,0.1935484,0.8602151,0.8602151,0.0322581,0.0537634,0,0.0537634,3603810,Battery Park City-Lower Manhattan,"40.711990114524234, -74.01584413511947"
3903,0.0743802,0.2424242,0.3181818,0.3939394,0.2575758,0.3257576,0.3712121,0.2727273,0.0075758,0.0378788,0.3106061,3603903,Westerleigh,"40.61619397034713, -74.13787460064914"
4016,0.0740741,0.1746032,0.2063492,0.2857143,0.3492064,0.3809524,0.7142857,0.0634921,0.031746,0.047619,0.1428571,3604016,Homecrest,"40.60027064916563, -73.95591605410954"
3807,0.0721649,0.1176471,0.1078431,0.2647059,0.2254902,0.7156863,0.6568627,0.127451,0.0686275,0.0098039,0.1372549,3603807,Hudson Yards-Chelsea-Flat Iron-Union Square,"40.75601477878502, -74.00350425708811"
4002,0.0714286,0.3409091,0.4659091,0.5113636,0.4204545,0.2613636,0.1022727,0.2386364,0.0340909,0.0568182,0.5681818,3604002,Bushwick North,"40.70725029861437, -73.92102266390857"
4106,0.0714286,0.1754386,0.1052632,0.2982456,0.3508772,0.5789474,0.4736842,0.122807,0.1403509,0.0350877,0.2280702,3604106,Briarwood-Jamaica Hills,"40.71160821684979, -73.81488622074505"
4107,0.0697674,0.1568628,0.1372549,0.4313726,0.6666667,0.3137255,0.1372549,0.1176471,0.2156863,0.0196078,0.509804,3604107,Corona,"40.74457641147364, -73.86387900863537"
4101,0.0681818,0.21875,0.2291667,0.4270833,0.40625,0.53125,0.40625,0.1666667,0.0625,0.03125,0.3333333,3604101,Astoria,"40.763738954443575, -73.92124513835137"
3806,0.0647482,0.0689655,0.1655172,0.262069,0.137931,0.6413793,0.6344827,0.1517241,0.0137931,0.0413793,0.1586207,3603806,Upper West Side,"40.789149842071545, -73.97432732856201"
3902,0.0638298,0.15,0.0833333,0.3166667,0.2666667,0.4666667,0.75,0.05,0.1,0.0333333,0.0666667,3603902,New Springville-Bloomfield-Travis,"40.58581346424267, -74.15928300588617"
4014,0.0625,0.1896552,0.2068966,0.362069,0.2068966,0.3275862,0.7241379,0.0862069,0.0344828,0.0172414,0.137931,3604014,Kensington-Ocean Parkway,"40.638718610996705, -73.97160945964781"
4017,0.0547945,0.2467532,0.1818182,0.2467532,0.3636364,0.3376623,0.5714286,0.012987,0.1948052,0.012987,0.2077922,3604017,Bensonhurst East,"40.61322222333187, -73.97630957998282"
3701,0.0493827,0.1395349,0.1976744,0.2906977,0.2906977,0.5581396,0.3837209,0.1627907,0.0348837,0.0232558,0.3953488,3603701,Van Cortlandt Village,"40.88375332392085, -73.89344496490692"
3808,0.0428571,0.1216216,0.1216216,0.1756757,0.1891892,0.8378378,0.7297297,0.027027,0.0810811,0.0405405,0.1216216,3603808,Turtle Bay-East Midtown,"40.75584190114023, -73.96973254242542"
4103,0.0410959,0.1927711,0.1204819,0.2530121,0.3614458,0.6144578,0.5180723,0.0722892,0.2168675,0.0481928,0.1445783,3604103,Flushing,"40.76740474021598, -73.83316220224275"
3901,0.031746,0.1323529,0.1176471,0.2647059,0.0735294,0.4264706,0.8676471,0.0147059,0,0,0.1176471,3603901,Annadale-Huguenot-Prince's Bay-Eltingville,"40.53240168338464, -74.16946016421765"
4001,0.0298507,0.2465753,0.2191781,0.4931507,0.3013699,0.3561644,0.5068493,0.1369863,0.0273973,0.0136986,0.3150685,3604001,Williamsburg,"40.70803650707828, -73.95454532758492"
4113,0.0232558,0.1276596,0.1276596,0.3191489,0.4042553,0.2765957,0.2765957,0.2340426,0.1276596,0.0638298,0.2978723,3604113,Lindenwood-Howard Beach,"40.66695241259058, -73.84984443919852"
3805,0.0194175,0.122807,0.1052632,0.1578947,0.2192982,0.8070176,0.8333333,0.0526316,0.0350877,0.0350877,0.0438596,3603805,Upper East Side-Carnegie Hill,"40.7772840839584, -73.95412964734588"
4104,0.0192308,0.0754717,0.0377358,0.2264151,0.245283,0.5471698,0.6037736,0.0754717,0.1509434,0,0.1698113,3604104,Bayside-Bayside Hills,"40.76937800692658, -73.7736783168973"
4109,0.015873,0.2142857,0.1285714,0.2857143,0.4285714,0.4285714,0.4142857,0.0285714,0.1,0.0428571,0.4142857,3604109,Hunters Point-Sunnyside-West Maspeth,"40.74872143489922, -73.94952219908659"
4111,0,0.1632653,0.1428571,0.3469388,0.3469388,0.4897959,0.4081633,0.0408163,0.1020408,0.0612245,0.3877551,3604111,Woodhaven,"40.69038444509214, -73.85625406404588"
